city_ascii,state_id,state_name,lat,lng,population
Winder,GA,Georgia,33.9917,-83.7218,17054
East Cleveland,OH,Ohio,41.5317,-81.5794,17047
Pinewood,FL,Florida,25.8697,-80.2174,17044
Calverton,MD,Maryland,39.0578,-76.9488,17034
Siloam Springs,AR,Arkansas,36.1844,-94.5315,17031
Woodmere,NY,New York,40.6375,-73.7219,17020
Lake Mary,FL,Florida,28.7592,-81.336,16987
La Marque,TX,Texas,29.3683,-94.9941,16983
Poplar Bluff,MO,Missouri,36.7632,-90.4135,16979
Ojus,FL,Florida,25.9563,-80.1606,16972
Phoenixville,PA,Pennsylvania,40.1359,-75.5201,16961
Oconomowoc,WI,Wisconsin,43.0996,-88.4948,16931
Clemson,SC,South Carolina,34.6837,-82.8124,16917
Nocatee,FL,Florida,30.0927,-81.4095,16914
Boerne,TX,Texas,29.7847,-98.7292,16909
Stafford,TX,Texas,29.6271,-95.5654,16904
Moraga,CA,California,37.8439,-122.1225,16896
Wayne,MI,Michigan,42.2774,-83.3877,16894
Norcross,GA,Georgia,33.9379,-84.2065,16876
Norwalk,OH,Ohio,41.2443,-82.6088,16860
Lansdale,PA,Pennsylvania,40.2417,-75.2812,16846
Goodlettsville,TN,Tennessee,36.333,-86.7026,16829
Danville,KY,Kentucky,37.6418,-84.7777,16801
Knightdale,NC,North Carolina,35.7911,-78.4966,16798
Bull Run,VA,Virginia,38.7802,-77.5204,16769
Clayton,MO,Missouri,38.6444,-90.3303,16763
Seven Oaks,SC,South Carolina,34.0475,-81.1435,16743
Defiance,OH,Ohio,41.2813,-84.3657,16741
Seagoville,TX,Texas,32.653,-96.5456,16726
Cohoes,NY,New York,42.7732,-73.7077,16708
Farmingville,NY,New York,40.839,-73.0404,16705
Sunnyside,WA,Washington,46.3157,-120.0058,16703
Highland Village,TX,Texas,33.0897,-97.0615,16701
Opelousas,LA,Louisiana,30.5252,-92.0816,16687
Pendleton,OR,Oregon,45.6757,-118.8201,16685
Tahlequah,OK,Oklahoma,35.9112,-94.977,16684
North Myrtle Beach,SC,South Carolina,33.8232,-78.7082,16684
Mount Vernon,OH,Ohio,40.3854,-82.4737,16684
Truckee,CA,California,39.3455,-120.1848,16666
Sikeston,MO,Missouri,36.8854,-89.5877,16664
Madison,NJ,New Jersey,40.7586,-74.4169,16647
McKinleyville,CA,California,40.9488,-124.0857,16645
